Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Alberta,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,11583,2214,406,149,190,3229,543,,407.4,5.7,6.8,0.002,,2.7
Alberta,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,12313,3725,1416,3057,5705,41,262,,8.8,0.1,31.5,,,
Alberta,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,8409,2517,846,3047,4908,36,182,,,,22.5,,,
Alberta,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,421,133,47,10,797,5,81,,,,8.9,,,
Alberta,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,3483,1075,523,,,,,,8.8,0.1,,,,
Alberta,1990,Industrial Sources,Chemicals Industry,all subsectors,4177,2852,1442,5775,23573,9371,9379,3266,,,,,,
Alberta,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,1172,920,564,2779,4618,375,1151,14,,,,,,
Alberta,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,10,,,,,,,,
Alberta,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,155,161,118,288,12813,8407,5945,1,,,,,,
Alberta,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,76,76,16,,403,454,283,,,,,,,
Alberta,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,2773,1695,744,2708,5738,126,2001,3251,,,,,,
Alberta,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Mineral Products Industry,all subsectors,263,151,65,21,276,53,54,27,,,,,,
Alberta,1990,Industrial Sources,Mineral Products Industry,Clay Products,27,8,3,21,11,1,24,,,,,,,
Alberta,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,235,144,62,,265,53,30,27,,,,,,
Alberta,1990,Industrial Sources,Foundries,all subsectors,87,82,79,,2,4,826,,,,1.7,,,
Alberta,1990,Industrial Sources,Foundries,Ferrous Foundries,87,82,79,,2,4,826,,,,1.7,,,
Alberta,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Grain Industries,all subsectors,10907,2106,749,,106,321,50,,,,,,,
Alberta,1990,Industrial Sources,Iron and Steel Industries,all subsectors,580,204,176,42,89,55,2075,,,,19.6,,,
Alberta,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),580,204,176,42,89,55,2075,,,,17.4,,,
Alberta,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,2.2,,,
Alberta,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,6579,2895,1340,1509,933,490,131,,,,,,,
Alberta,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,3397,1239,344,,,,,,,,,,,
Alberta,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,3010,1640,993,1509,933,490,131,,,,,,,
