Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
British Columbia,1990,Industrial Sources,Aluminum Industry,all subsectors,2520,2125,1732,1714,95,6,82,2,,,3.4,,,
British Columbia,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,2520,2125,1732,1714,95,6,82,2,,,3.4,,,
British Columbia,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,685,230,76,73,144,835,348,,43,1.7,1.6,,,1.7
British Columbia,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,7242,2462,1201,1707,5839,98,547,1,15,0.1,34,,,
British Columbia,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,1106,602,264,1702,5636,88,468,,,,18.7,,,
British Columbia,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,144,25,14,1,143,8,41,1,,,15.3,,,
British Columbia,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,5992,1835,923,4,60,3,38,,15,0.1,,,,
British Columbia,1990,Industrial Sources,Chemicals Industry,all subsectors,861,129,116,203,751,512,438,12,,,20,,,
British Columbia,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,755,47,41,195,652,39,137,12,,,20,,,
British Columbia,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,17,8,3,,,275,,,,,,,,
British Columbia,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,21,7,6,3,76,152,32,,,,,,,
British Columbia,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,1,1,1,4,21,24,5,,,,,,,
British Columbia,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,67,67,66,,2,22,264,,,,,,,
British Columbia,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Mineral Products Industry,all subsectors,120,55,18,1,54,2,27,,,,,,,
British Columbia,1990,Industrial Sources,Mineral Products Industry,Clay Products,62,21,5,,10,1,6,,,,,,,
British Columbia,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,58,35,13,1,44,2,21,,,,,,,
British Columbia,1990,Industrial Sources,Foundries,all subsectors,412,148,164,7,55,71,647,,,,6.2,,,
British Columbia,1990,Industrial Sources,Foundries,Ferrous Foundries,412,148,164,7,55,71,647,,,,6.2,,,
British Columbia,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Grain Industries,all subsectors,16206,2636,234,,1,,,,,,,,,
British Columbia,1990,Industrial Sources,Iron and Steel Industries,all subsectors,108,58,53,4,64,72,14,,,,5,,,
British Columbia,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),101,56,52,3,60,47,14,,,,,,,
British Columbia,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,7,2,1,1,4,26,1,,,,5,,,
British Columbia,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
British Columbia,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,80422,11346,3324,5475,8158,1611,1458,,,,,,,
British Columbia,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,5036,1333,342,1,17,1,4,,,,,,,
British Columbia,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,65585,5317,656,2315,5742,394,1312,,,,,,,
British Columbia,1990,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,8872,4620,2306,3159,2298,1215,74,,,,,,,
