Region,Year,Source,Sector,Subsector,TPM,PM10,PM2.5,SOX,NOX,VOC,CO,NH3,Pb,Cd,Hg,D/F,HCB,PAH
Canada,1990,Industrial Sources,Aluminum Industry,all subsectors,17915,7998,5359,30969,1574,706,240225,29,84.2,0.7,18.2,2.757,,109204.9
Canada,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),682,400,314,3578,861,8,115,24,,,5.5,,,
Canada,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,17230,7594,5042,27381,697,697,240106,4,84.2,0.7,12.7,,,109204.9
Canada,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),3,3,3,10,16,,3,1,,,,2.757,,
Canada,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,41895,8634,1869,738,1202,6661,4229,1,1412,26.1,24,0.019,,14.3
Canada,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,60164,21458,10941,47563,42444,841,15698,595,553.2,46.3,456.1,3,1593.29,16.6
Canada,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,21045,9207,4804,45497,39750,683,10487,567,452.5,41.6,335.4,3,1593.29,16.6
Canada,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,1591,686,480,1772,2286,81,4647,27,5.8,3.7,120.7,,,
Canada,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,37529,11566,5656,294,408,77,564,1,94.8,0.9,,,,
Canada,1990,Industrial Sources,Chemicals Industry,all subsectors,16071,8024,4829,37559,41487,46799,26677,9844,12050.2,137.8,169.5,2.203,677.16,0.6
Canada,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,4611,2123,1439,29802,15879,12095,13709,2431,1856.8,44.7,75.8,2.2,669.234,0.6
Canada,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,146,123,69,3,27,6275,8,3,10067.4,,,,,
Canada,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,953,826,642,468,14273,19066,6197,77,122.6,91.6,0.7,,,
Canada,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,197,149,61,2081,3097,8473,1946,104,3.2,1.5,1.4,0.003,7.926,
Canada,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,5825,3830,2267,3040,6860,391,2957,7218,,,,,,
Canada,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),4339,973,351,2165,1351,499,1859,11,,,91.7,,,
Canada,1990,Industrial Sources,Mineral Products Industry,all subsectors,4330,2177,1276,1615,1519,225,3953,85,,,,0.814,,
Canada,1990,Industrial Sources,Mineral Products Industry,Clay Products,1760,589,199,396,132,6,268,41,,,,,,
Canada,1990,Industrial Sources,Mineral Products Industry,Brick Products,40,34,3,102,4,,,,,,,,,
Canada,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,2530,1553,1073,1117,1383,218,3685,44,,,,0.814,,
Canada,1990,Industrial Sources,Foundries,all subsectors,7757,6466,6109,1288,493,1720,55063,12,1978.7,1.8,213.3,,,
Canada,1990,Industrial Sources,Foundries,Ferrous Foundries,7196,6400,6050,833,417,1516,54998,12,,,213.3,,,
Canada,1990,Industrial Sources,Foundries,Non-ferrous Foundries,70,57,52,455,64,177,30,1,1978.7,1.8,,,,
Canada,1990,Industrial Sources,Foundries,Die Casting,490,8,7,,13,26,35,,,,,,,
Canada,1990,Industrial Sources,Grain Industries,all subsectors,64577,12382,2201,232,1396,2209,1879,6,,,,,,
Canada,1990,Industrial Sources,Iron and Steel Industries,all subsectors,35150,14193,10999,35851,19452,5767,43342,181,53887.3,146.8,710.3,34.9,1149.21,79627.3
Canada,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),30534,11575,8863,35068,16997,4962,32069,102,32395.2,115.7,61.7,18.894,131.826,79627.3
Canada,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),4602,2611,2132,782,2443,744,11124,79,21492.1,31.1,623,16.006,1017.384,
Canada,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,14,7,4,1,12,61,149,,,,25.7,,,
Canada,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Canada,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,40193,4331,1617,59000,10400,575,17771,157,,,60.1,,,
Canada,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,7906,2429,970,44066,5235,554,16958,6,,,0.1,,,
Canada,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,32287,1902,648,14934,5164,21,813,150,,,60,,,
Canada,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,211028,36512,12813,34934,24797,4097,13690,507,198614.9,2244.2,12,,12.85,0.3
Canada,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,80628,12036,2569,36,200,7,114,23,,,,,,
Canada,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,85549,7367,1435,25762,12251,496,9324,190,195230.3,2244.2,12,,4.949,
