Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Manitoba,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,1055,202,37,5,11,297,41,,24.7,0.5,0.4,,,0.3
Manitoba,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,2117,852,369,38,266,2,6,,3.8,,11.8,,,
Manitoba,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,456,342,122,,241,1,1,,,,7,,,
Manitoba,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,150,43,20,1,25,1,5,,,,4.8,,,
Manitoba,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,1511,466,227,36,1,,,,3.8,,,,,
Manitoba,1990,Industrial Sources,Chemicals Industry,all subsectors,358,86,38,157,147,219,39,915,,,,,,
Manitoba,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,32,20,13,141,59,10,39,,,,,,,
Manitoba,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,49,,,,,,,,
Manitoba,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,157,,,,,,,,
Manitoba,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,325,66,24,16,89,3,,915,,,,,,
Manitoba,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Mineral Products Industry,all subsectors,142,73,14,102,18,,,1,,,,,,
Manitoba,1990,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Mineral Products Industry,Brick Products,40,34,3,102,4,,,,,,,,,
Manitoba,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,102,39,11,,14,,,1,,,,,,
Manitoba,1990,Industrial Sources,Foundries,all subsectors,332,299,269,441,35,31,543,,,,27.6,,,
Manitoba,1990,Industrial Sources,Foundries,Ferrous Foundries,331,298,269,25,32,31,543,,,,27.6,,,
Manitoba,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,416,3,,,,,,,,,
Manitoba,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Grain Industries,all subsectors,6255,1163,153,,41,564,21,,,,,,,
Manitoba,1990,Industrial Sources,Iron and Steel Industries,all subsectors,23,15,15,,40,1,1943,1,,,35.1,,,
