Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
New Brunswick,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,2817,538,99,33,76,69,246,,16.5,0.9,1.1,,,0.7
New Brunswick,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,1154,467,252,977,592,28,374,,1.8,,6.4,,,
New Brunswick,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,323,176,107,540,442,27,369,,,,,,,
New Brunswick,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,125,73,39,437,150,1,5,,,,6.4,,,
New Brunswick,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,706,218,106,,,,,,1.8,,,,,
New Brunswick,1990,Industrial Sources,Chemicals Industry,all subsectors,878,547,188,389,147,13,2,,,,40.6,,,
New Brunswick,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,5,5,3,73,10,,1,,,,40.6,,,
New Brunswick,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,10,,,,,,,,
New Brunswick,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,873,543,185,316,137,3,1,,,,,,,
New Brunswick,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Mineral Products Industry,all subsectors,45,14,5,332,46,56,5,1,,,,,,
New Brunswick,1990,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,45,14,5,332,46,56,5,1,,,,,,
New Brunswick,1990,Industrial Sources,Foundries,all subsectors,29,27,26,,1,1,257,,,,0.9,,,
New Brunswick,1990,Industrial Sources,Foundries,Ferrous Foundries,29,27,26,,1,1,257,,,,0.9,,,
New Brunswick,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Grain Industries,all subsectors,102,28,7,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Iron and Steel Industries,all subsectors,,,,,,,,,,,1.1,,,
New Brunswick,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,1.1,,,
New Brunswick,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
