Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Newfoundland and Labrador,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,363,69,13,3,7,5,20,,44.6,0.4,0.4,,,0.1
Newfoundland and Labrador,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,2719,726,521,42,174,1,5,,1.4,,2.4,,,
Newfoundland and Labrador,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,2168,556,438,42,174,1,5,,,,2.4,,,
Newfoundland and Labrador,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,551,170,83,,,,,,1.4,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Chemicals Industry,all subsectors,11,9,6,143,25,,2,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,11,9,6,143,25,,2,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mineral Products Industry,all subsectors,441,200,66,254,89,,2,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,441,200,66,254,89,,2,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Foundries,all subsectors,,,,,,,,,,,0.5,,,
Newfoundland and Labrador,1990,Industrial Sources,Foundries,Ferrous Foundries,,,,,,,,,,,0.5,,,
Newfoundland and Labrador,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Grain Industries,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron and Steel Industries,all subsectors,,,,,,,,,,,0.9,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,0.9,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,23262,2584,868,7627,6667,22,142,20,,,50,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,1307,878,340,987,4840,13,19,3,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,21955,1706,528,6640,1827,9,123,17,,,50,,,
Newfoundland and Labrador,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,2047,239,42,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,1071,158,32,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,117,11,1,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mining and Rock Quarrying,Potash,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mining and Rock Quarrying,Silica Production,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Mining and Rock Quarrying,Other Minerals,859,70,9,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Pulp and Paper Industry,all subsectors,684,389,265,7698,937,41,182,206,,,1.5,,,
Newfoundland and Labrador,1990,Industrial Sources,Wood Industry,all subsectors,,,,1,17,45,41,1,0.1,0.1,,0.001,,
Newfoundland and Labrador,1990,Industrial Sources,Wood Industry,Sawmills,,,,1,17,45,41,1,0.1,0.1,,0.001,,
Newfoundland and Labrador,1990,Industrial Sources,Wood Industry,Panel Board Mills,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Wood Industry,Other Wood Products,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Upstream Petroleum Industry,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,425,265,100,21748,1955,8446,519,27,,,5.1,,,
Newfoundland and Labrador,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,425,265,100,21748,1955,5478,519,27,,,5.1,,,
Newfoundland and Labrador,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,,,2968,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,all subsectors,2986,1736,1110,952,2107,879,3576,1,,,9.4,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Metal Fabrication,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Glass Manufacture,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Electronics,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Plastics Manufacture,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Food Preparation,9,8,5,120,26,,2,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Textiles ,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Bakeries,,,,,,27,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Other Industries,Other (Other Industries),2977,1728,1105,832,2081,852,3574,,,,9.4,,,
Newfoundland and Labrador,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,,,,,,,,,,,,,,
