Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Nova Scotia,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,2699,516,95,57,60,170,95,,253.1,3.1,2.6,0.001,,0.6
Nova Scotia,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,1077,338,158,2978,5184,6,6,2,2.2,,8.3,,,
Nova Scotia,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,209,70,28,2978,5184,6,6,2,,,8.3,,,
Nova Scotia,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,868,268,130,,,,,,2.2,,,,,
Nova Scotia,1990,Industrial Sources,Chemicals Industry,all subsectors,,,,,,1,,,,,,,,
Nova Scotia,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,1,,,,,,,,
Nova Scotia,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mineral Products Industry,all subsectors,121,59,21,2,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mineral Products Industry,Clay Products,1,1,1,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,120,58,20,2,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Foundries,all subsectors,20,12,9,2,1,,36,,,,0.4,,,
Nova Scotia,1990,Industrial Sources,Foundries,Ferrous Foundries,20,12,9,2,1,,36,,,,0.4,,,
Nova Scotia,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Grain Industries,all subsectors,170,47,11,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Iron and Steel Industries,all subsectors,218,193,136,744,152,19,17,4,,,1.6,,,
Nova Scotia,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),218,193,136,744,152,19,17,4,,,,,,
Nova Scotia,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),,,,,,,,,,,0.3,,,
Nova Scotia,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,1.3,,,
Nova Scotia,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,9721,2726,931,687,333,49,39,2,,,,,,
Nova Scotia,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,4513,523,97,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,1182,606,280,132,61,40,4,,,,,,,
Nova Scotia,1990,Industrial Sources,Mining and Rock Quarrying,Potash,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mining and Rock Quarrying,Silica Production,27,3,1,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Mining and Rock Quarrying,Other Minerals,3999,1594,553,555,271,9,35,2,,,,,,
Nova Scotia,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Pulp and Paper Industry,all subsectors,2268,1945,1626,9734,1466,796,4654,47,,,2.9,,,
Nova Scotia,1990,Industrial Sources,Wood Industry,all subsectors,285,118,72,368,171,303,322,27,0.7,0.5,0.2,0.008,,0.1
Nova Scotia,1990,Industrial Sources,Wood Industry,Sawmills,8,5,3,4,109,295,274,10,0.7,0.5,0.2,0.008,,0.1
Nova Scotia,1990,Industrial Sources,Wood Industry,Panel Board Mills,271,109,66,328,61,8,27,18,,,,,,
Nova Scotia,1990,Industrial Sources,Wood Industry,Other Wood Products,6,3,3,36,,,21,,,,,,,
Nova Scotia,1990,Industrial Sources,Upstream Petroleum Industry,all subsectors,,,,1,,1,,,,,,,,
Nova Scotia,1990,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,,,,1,,1,,,,,,,,
Nova Scotia,1990,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,2129,1516,860,8768,1866,6355,588,7,,,5.4,,,
Nova Scotia,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,2129,1516,860,8768,1866,5193,588,7,,,5.4,,,
Nova Scotia,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,,,1163,,,,,,,,
Nova Scotia,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,all subsectors,2487,2047,1577,20693,1585,2092,2092,6,,,1.5,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Metal Fabrication,16,15,14,1,,137,129,,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Glass Manufacture,,,,,,,,,,,0.1,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,8,6,3,64,17,,3,,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Electronics,,,,,,,,,,,0.1,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Plastics Manufacture,85,73,48,1130,187,1018,17,3,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Food Preparation,40,36,25,529,68,,7,1,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Textiles ,19,17,11,269,34,,3,,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Bakeries,,,,,,108,,,,,,,,
Nova Scotia,1990,Industrial Sources,Other Industries,Other (Other Industries),2320,1901,1477,18702,1279,829,1933,1,,,1.3,,,
Nova Scotia,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,,,,,,,,,,,,,,
Nova Scotia,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Nova Scotia,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,53,30,23,2594,894,18,166,31,24,16.5,0.7,0.041,0.001,0.2
Nova Scotia,1990,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,7070,3751,1339,145432,24160,136,3799,169,,,200.6,,,
Nova Scotia,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,6420,3288,1001,120609,19872,87,3479,15,,,196,,,
Nova Scotia,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,644,457,335,24470,4205,48,314,153,,,,,,
Nova Scotia,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),6,5,4,353,83,1,7,1,,,4.7,,,
Nova Scotia,1990,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,410,192,132,5201,1837,52,594,80,55.9,32.7,1.6,0.35,0.528,0.5
Nova Scotia,1990,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,14590,13773,13767,189,1321,20573,85197,119,194.5,10.4,2.9,0.472,,7381.2
