Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Nunavut,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Chemicals Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mineral Products Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Foundries,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Foundries,Ferrous Foundries,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Grain Industries,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron and Steel Industries,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mining and Rock Quarrying,Potash,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mining and Rock Quarrying,Silica Production,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Mining and Rock Quarrying,Other Minerals,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Pulp and Paper Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Wood Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Wood Industry,Sawmills,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Wood Industry,Panel Board Mills,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Wood Industry,Other Wood Products,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Upstream Petroleum Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Metal Fabrication,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Glass Manufacture,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Electronics,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Plastics Manufacture,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Food Preparation,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Textiles ,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Bakeries,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Other Industries,Other (Other Industries),,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,,,,,,,,,,,,,,
Nunavut,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,,,,,,,,,,,,,,
Nunavut,1990,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,,,,,,,,,,,,,,
