Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Northwest Territories,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,196,37,7,4,5,3,18,,14.9,0.2,0.2,,,
Northwest Territories,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Chemicals Industry,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mineral Products Industry,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Foundries,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Foundries,Ferrous Foundries,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Grain Industries,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Iron and Steel Industries,all subsectors,,,,,,,,,,,0.1,,,
Northwest Territories,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,0.1,,,
Northwest Territories,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,4215,1015,592,14837,3253,299,782,,,,,,,
Northwest Territories,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,565,117,29,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,3118,290,31,14702,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mining and Rock Quarrying,Potash,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mining and Rock Quarrying,Silica Production,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Mining and Rock Quarrying,Other Minerals,532,608,532,135,3253,299,782,,,,,,,
Northwest Territories,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,,,,,,,,,,,63.2,,,
Northwest Territories,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,,,,,,,,,,,63.2,,,
Northwest Territories,1990,Industrial Sources,Pulp and Paper Industry,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Wood Industry,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Wood Industry,Sawmills,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Wood Industry,Panel Board Mills,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Wood Industry,Other Wood Products,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Upstream Petroleum Industry,all subsectors,103,103,103,811,953,3085,713,4,,,,,,
Northwest Territories,1990,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,103,103,103,811,953,3085,713,4,,,,,,
Northwest Territories,1990,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,,,,,,3814,,,,,,,,
Northwest Territories,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,,,,,,3656,,,,,,,,
Northwest Territories,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,,,158,,,,,,,,
Northwest Territories,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,all subsectors,,,,,,,,,,,0.2,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Metal Fabrication,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Glass Manufacture,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Electronics,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Plastics Manufacture,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Food Preparation,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Textiles ,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Bakeries,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Other Industries,Other (Other Industries),,,,,,,,,,,0.2,,,
Northwest Territories,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,7,7,7,,273,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,,,,,,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,7,7,7,,273,,,,,,,,,
Northwest Territories,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,20,12,10,450,208,5,65,8,5.7,3.1,0.1,0.011,,0.1
Northwest Territories,1990,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,163,180,215,51,1917,54,128,1,,,1.1,,,
Northwest Territories,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,,,,,,,,,,,,,,
Northwest Territories,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,13,15,18,,447,8,39,1,,,,,,
Northwest Territories,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),150,165,197,51,1470,46,89,,,,1.1,,,
Northwest Territories,1990,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,10,6,5,467,102,3,30,4,2.5,1.5,0.1,0.005,,
Northwest Territories,1990,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,,,,,,,,,,,,,,
Northwest Territories,1990,Mobile Sources,Air Transportation,all subsectors,20,20,16,65,773,126,1677,1,2907.1,,,,,0.9
Northwest Territories,1990,Mobile Sources,Heavy-duty diesel vehicles,all subsectors,86,86,84,134,1175,125,298,1,,,,0.012,,3.4
Northwest Territories,1990,Mobile Sources,Heavy-duty gasoline trucks,all subsectors,28,28,26,6,446,623,6535,4,,,,,,8.3
