Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Ontario,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Ontario,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Ontario,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Ontario,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Ontario,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,3085,1116,456,105,238,491,1269,,88.1,4.5,2.9,0.001,,3.6
Ontario,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,18675,7978,4628,20870,19446,480,9510,399,32.2,0.3,280,,,
Ontario,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,5502,3701,2403,20518,18469,435,8628,398,,,212.1,,,
Ontario,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,428,344,312,98,630,,356,1,,,67.8,,,
Ontario,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,12744,3932,1913,254,346,45,526,1,32.2,0.3,,,,
Ontario,1990,Industrial Sources,Chemicals Industry,all subsectors,3217,2457,1886,18615,12204,26337,14455,4140,,,107.9,,,
Ontario,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,1450,830,570,18462,8581,10979,12143,2382,,,15.2,,,
Ontario,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,91,76,29,3,26,2699,8,3,,,,,,
Ontario,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,38,35,25,11,614,5005,35,62,,,0.7,,,
Ontario,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,73,47,25,138,2468,7446,1580,102,,,0.4,,,
Ontario,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,1480,1400,1206,,489,53,679,1582,,,,,,
Ontario,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),86,69,31,,25,154,9,8,,,91.7,,,
Ontario,1990,Industrial Sources,Mineral Products Industry,all subsectors,1569,1077,893,385,893,110,3835,55,,,,,,
Ontario,1990,Industrial Sources,Mineral Products Industry,Clay Products,135,34,12,149,54,4,225,40,,,,,,
Ontario,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Ontario,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,1434,1043,882,236,839,107,3610,15,,,,,,
Ontario,1990,Industrial Sources,Foundries,all subsectors,4947,4230,4003,164,171,1281,43094,6,,,100.3,,,
Ontario,1990,Industrial Sources,Foundries,Ferrous Foundries,4389,4165,3944,155,117,1078,43034,5,,,100.3,,,
Ontario,1990,Industrial Sources,Foundries,Non-ferrous Foundries,67,57,52,9,41,177,25,1,,,,,,
