Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Quebec,1990,Industrial Sources,Aluminum Industry,all subsectors,15395,5872,3627,29255,1479,699,240143,28,,,14.8,,,
Quebec,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),682,400,314,3578,861,8,115,24,,,5.5,,,
Quebec,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,14710,5469,3310,25667,602,691,240024,2,,,9.3,,,
Quebec,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),3,3,3,10,16,,3,1,,,,,,
Quebec,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,13964,2670,490,229,327,231,1301,,163.7,4.1,3.7,,,3.3
Quebec,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,13285,4426,2161,17579,5111,184,4985,192,25.6,0.2,77.5,,,
Quebec,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,2841,1237,595,16355,4570,89,825,167,,,60,,,
Quebec,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,323,67,47,1225,540,66,4160,26,,,17.4,,,
Quebec,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,10121,3123,1519,,1,29,,,25.6,0.2,,,,
Quebec,1990,Industrial Sources,Chemicals Industry,all subsectors,2029,997,804,9908,2998,10141,1625,39,,,1,,,
Quebec,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,1183,290,240,7803,1903,690,233,21,,,,,,
Quebec,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,38,38,37,,1,3232,,,,,,,,
Quebec,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,740,624,493,166,769,5501,185,14,,,,,,
Quebec,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,47,26,19,1939,205,391,78,1,,,1,,,
Quebec,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,,,,,,,,,,,,,,
Quebec,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),21,20,14,,120,327,1128,3,,,,,,
Quebec,1990,Industrial Sources,Mineral Products Industry,all subsectors,113,40,29,460,111,2,28,2,,,,,,
