Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Saskatchewan,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,4995,955,175,76,135,1327,325,,292.8,4.4,3.7,0.002,,1.2
Saskatchewan,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,1408,430,209,314,126,1,3,,3.5,,4.3,,,
Saskatchewan,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,30,5,2,314,126,1,3,,,,4.3,,,
Saskatchewan,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,1378,425,207,,,,,,3.5,,,,,
Saskatchewan,1990,Industrial Sources,Chemicals Industry,all subsectors,4541,946,350,2369,1641,195,737,1473,,,,,,
Saskatchewan,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,2,2,1,205,31,,3,1,,,,,,
Saskatchewan,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,307,60,43,,405,184,12,1471,,,,,,
Saskatchewan,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),4232,884,306,2164,1206,10,721,,,,,,,
Saskatchewan,1990,Industrial Sources,Mineral Products Industry,all subsectors,1516,507,164,59,34,1,2,,,,,,,
Saskatchewan,1990,Industrial Sources,Mineral Products Industry,Clay Products,1516,507,164,59,34,1,2,,,,,,,
Saskatchewan,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Foundries,all subsectors,186,59,33,,,,6,,,,4.5,,,
Saskatchewan,1990,Industrial Sources,Foundries,Ferrous Foundries,186,59,33,,,,6,,,,4.5,,,
Saskatchewan,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Grain Industries,all subsectors,16669,3128,405,16,620,302,1588,1,,,,,,
Saskatchewan,1990,Industrial Sources,Iron and Steel Industries,all subsectors,2492,1350,955,14,126,50,5426,,,,185,,,
Saskatchewan,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),2492,1350,955,14,126,50,5426,,,,184.3,,,
Saskatchewan,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,0.7,,,
Saskatchewan,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Saskatchewan,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,4710,1923,1348,536,3911,699,2000,32,,,,,,
Saskatchewan,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,603,307,90,,,,,,,,,,,
