Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Yukon,1990,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Asphalt Paving Industry,all subsectors,102,19,4,2,3,1,9,,7.7,0.1,0.1,,,
Yukon,1990,Industrial Sources,Cement and Concrete Industry,all subsectors,51,16,8,,,,,,0.1,,,,,
Yukon,1990,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,51,16,8,,,,,,0.1,,,,,
Yukon,1990,Industrial Sources,Chemicals Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Chemicals Industry,Chemical Manufacture,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Chemicals Industry,Fertilizer Production,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mineral Products Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mineral Products Industry,Other Mineral Products,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Foundries,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Foundries,Ferrous Foundries,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Grain Industries,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron and Steel Industries,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mining and Rock Quarrying,all subsectors,5611,548,71,,84,,,,,,,,,
Yukon,1990,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,506,87,20,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,5104,461,51,,84,,,,,,,,,
Yukon,1990,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mining and Rock Quarrying,Potash,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mining and Rock Quarrying,Silica Production,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Mining and Rock Quarrying,Other Minerals,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Pulp and Paper Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Wood Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Wood Industry,Sawmills,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Wood Industry,Panel Board Mills,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Wood Industry,Other Wood Products,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Upstream Petroleum Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,,,,,,34,,,,,,,,
Yukon,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,,,34,,,,,,,,
Yukon,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Metal Fabrication,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Glass Manufacture,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Electronics,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Plastics Manufacture,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Food Preparation,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Textiles ,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Bakeries,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Other Industries,Other (Other Industries),,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,,,,,,,,,,,,,,
Yukon,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,6,3,3,358,60,1,15,3,1.8,1,,0.004,,
Yukon,1990,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,,,,,,,,,,,0.7,,,
Yukon,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,,,,,,,,,,,,,,
Yukon,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,,,,,,,,,,,,,,
Yukon,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),,,,,,,,,,,0.7,,,
Yukon,1990,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,1,1,1,94,14,,4,1,0.4,0.2,,0.001,,
Yukon,1990,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Mobile Sources,Air Transportation,all subsectors,3,3,2,13,89,30,684,,2221.1,,,,,
Yukon,1990,Mobile Sources,Heavy-duty diesel vehicles,all subsectors,152,152,147,436,2091,215,511,2,,,,0.022,,6
Yukon,1990,Mobile Sources,Heavy-duty gasoline trucks,all subsectors,18,18,17,18,429,889,8664,3,,,,,,11.9
Yukon,1990,Mobile Sources,Light-duty diesel trucks,all subsectors,,,,1,2,,1,,,,,,,
Yukon,1990,Mobile Sources,Light-duty diesel vehicles,all subsectors,1,1,1,1,1,1,1,,,,,,,0.1
Yukon,1990,Mobile Sources,Light-duty gasoline trucks,all subsectors,17,17,16,22,526,407,3530,2,,,,,,1.9
Yukon,1990,Mobile Sources,Light-duty gasoline vehicles,all subsectors,39,39,36,42,821,762,6725,6,,,,,,1.2
Yukon,1990,Mobile Sources,Marine Transportation,all subsectors,7,6,6,45,101,4,9,,0.7,0.1,,0.022,,0.1
Yukon,1990,Mobile Sources,Motorcycles,all subsectors,,,,,1,8,36,,,,,,,
Yukon,1990,Mobile Sources,Off-road use of diesel,all subsectors,16,16,16,18,139,21,102,,,,,,,
Yukon,1990,Mobile Sources,Off-road use of gasoline/LPG/CNG,all subsectors,542,521,490,42,909,27554,69704,6,,,,,,0.1
Yukon,1990,Mobile Sources,Rail Transportation,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Mobile Sources,Tire wear & Brake Lining,all subsectors,15,15,4,,,,,,,,,,,
Yukon,1990,Incineration Sources,Crematorium,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Incineration Sources,Industrial & Commercial Incineration,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Incineration Sources,Municipal Incineration,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Incineration Sources,Other Incineration & Utilities,all subsectors,,,,,,,,,,,1.5,,,
Yukon,1990,Miscellaneous Sources,Cigarette Smoking,all subsectors,1,1,1,,,,4,,,,,,,
Yukon,1990,Miscellaneous Sources,Dry Cleaning,all subsectors,,,,,,1,,,,,,,,
Yukon,1990,Miscellaneous Sources,General Solvent Use,all subsectors,,,,,,81,,,,,,,,
Yukon,1990,Miscellaneous Sources,Marine Cargo Handling Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Miscellaneous Sources,Meat Cooking,all subsectors,7,7,7,,,,,,,,,,,
Yukon,1990,Miscellaneous Sources,Refined Petroleum Products Retail,all subsectors,,,,,,55,,,,,,,,
Yukon,1990,Miscellaneous Sources,Printing,all subsectors,,,,,,1,,,,,,,,
Yukon,1990,Miscellaneous Sources,Structural Fires,all subsectors,1,1,1,,,1,8,,,,,,,
Yukon,1990,Miscellaneous Sources,Surface Coatings,all subsectors,,,,,,31,,,,,,,,
Yukon,1990,Miscellaneous Sources,Human,all subsectors,,,,,,,,,,,0.1,,,
Yukon,1990,Miscellaneous Sources,Other Miscellaneous Sources,all subsectors,,,,,,,,,,,0.6,,,
Yukon,1990,Open Sources,Agriculture,all subsectors,,,,4,1,,,,,,,,,
Yukon,1990,Open Sources,Agriculture,Animals Production,,,,,,,,,,,,,,
Yukon,1990,Open Sources,Agriculture,Crop Production,,,,,,,,,,,,,,
Yukon,1990,Open Sources,Agriculture,Fertilizer Application,,,,,,,,,,,,,,
Yukon,1990,Open Sources,Agriculture,Agriculture - Fuel Combustion,,,,4,1,,,,,,,,,
Yukon,1990,Open Sources,Construction Operation,all subsectors,34081,10224,2045,9,6,,1,,,,,,,
Yukon,1990,Open Sources,Dust from Paved Roads,all subsectors,4772,915,219,,,,,,,,,,,
Yukon,1990,Open Sources,Dust from Unpaved Roads,all subsectors,10665,3321,489,,,,,,,,,,,
Yukon,1990,Open Sources,Dust from Coal Transportation,all subsectors,,,,,,,,,,,,,,
Yukon,1990,Open Sources,Waste,all subsectors,7,4,4,,2,12,21,,,,1.1,0.04,8.7,1.3
Yukon,1990,Open Sources,Waste,Landfills,3,,,,,4,,,,,0.6,,,
Yukon,1990,Open Sources,Waste,Water and Sewage Treatment,,,,,,,,,,,0.2,,,
Yukon,1990,Open Sources,Waste,Energy from Waste,,,,,,,,,,,,,,
Yukon,1990,Open Sources,Waste,Open Burning,4,4,4,,2,8,21,,,,0.3,0.04,8.7,1.3
Yukon,1990,Open Sources,Waste,Waste Treatment and Disposal,,,,,,,,,,,,,,
Yukon,1990,Open Sources,Mine Tailings,all subsectors,1274,102,25,,,,,,,,,,,
Yukon,1990,Open Sources,Prescribed Burning,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Asphalt Paving Industry,all subsectors,133,25,5,3,4,2,12,,10.1,0.1,0.1,,,
Yukon,1991,Industrial Sources,Cement and Concrete Industry,all subsectors,42,13,6,,,,,,0.1,,,,,
Yukon,1991,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,42,13,6,,,,,,0.1,,,,,
Yukon,1991,Industrial Sources,Chemicals Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Chemicals Industry,Chemical Manufacture,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Chemicals Industry,Fertilizer Production,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mineral Products Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mineral Products Industry,Brick Products,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mineral Products Industry,Other Mineral Products,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Foundries,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Foundries,Ferrous Foundries,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Foundries,Non-ferrous Foundries,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Grain Industries,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron and Steel Industries,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mining and Rock Quarrying,all subsectors,5126,479,56,,84,,,,,,,,,
Yukon,1991,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,304,40,8,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,4822,438,48,,84,,,,,,,,,
Yukon,1991,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mining and Rock Quarrying,Potash,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mining and Rock Quarrying,Silica Production,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Mining and Rock Quarrying,Other Minerals,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Pulp and Paper Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Wood Industry,all subsectors,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Wood Industry,Sawmills,,,,,,,,,,,,,,
Yukon,1991,Industrial Sources,Wood Industry,Panel Board Mills,,,,,,,,,,,,,,
