"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","15685","tonnes","2994","tonnes","561","tonnes","307","tonnes","257","tonnes","1951","tonnes","734","tonnes","","tonnes","550.7","kg","7.7","kg","9.2","kg","0.003","gTEQ","","g","3.7","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","6350","tonnes","2293","tonnes","1072","tonnes","1463","tonnes","5618","tonnes","26","tonnes","1668","tonnes","","tonnes","68.5","kg","2.2","kg","53","kg","0.016","gTEQ","10.843","g","0.6","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","634","tonnes","485","tonnes","180","tonnes","1439","tonnes","5261","tonnes","6","tonnes","1497","tonnes","","tonnes","54.3","kg","2","kg","52.1","kg","0.016","gTEQ","10.843","g","0.6","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","106","tonnes","77","tonnes","50","tonnes","","tonnes","334","tonnes","","tonnes","53","tonnes","","tonnes","","kg","","kg","0.9","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","5610","tonnes","1731","tonnes","842","tonnes","24","tonnes","23","tonnes","20","tonnes","119","tonnes","","tonnes","14.2","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","1951","tonnes","1588","tonnes","589","tonnes","8336","tonnes","14438","tonnes","2919","tonnes","5917","tonnes","6420","tonnes","1.2","kg","2.7","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","369","tonnes","235","tonnes","176","tonnes","5850","tonnes","2891","tonnes","885","tonnes","1735","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Petrochemical Industry","Industrie pétrochimique","867","tonnes","865","tonnes","108","tonnes","26","tonnes","3115","tonnes","585","tonnes","1223","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Plastics & Synthetic Resins Fabrication","Fabrication de plastiques et de résines synthétiques","9","tonnes","9","tonnes","9","tonnes","1","tonnes","315","tonnes","897","tonnes","263","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2011","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Fertilizer Production","Production d'engrais","690","tonnes","471","tonnes","288","tonnes","2459","tonnes","8109","tonnes","530","tonnes","2459","tonnes","6419","tonnes","1.2","kg","2.7","kg","","kg","","gTEQ","","g","","kg",
