"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","2273","tonnes","1917","tonnes","1562","tonnes","1544","tonnes","85","tonnes","6","tonnes","74","tonnes","2","tonnes","","kg","","kg","3.2","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","2273","tonnes","1917","tonnes","1562","tonnes","1544","tonnes","85","tonnes","6","tonnes","74","tonnes","2","tonnes","","kg","","kg","3.2","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","1450","tonnes","286","tonnes","73","tonnes","283","tonnes","368","tonnes","616","tonnes","272","tonnes","","tonnes","33.6","kg","1.3","kg","1.2","kg","","gTEQ","","g","1.4","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","6217","tonnes","2160","tonnes","1043","tonnes","1421","tonnes","6259","tonnes","114","tonnes","620","tonnes","1","tonnes","12.1","kg","0.1","kg","36.5","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","1207","tonnes","646","tonnes","271","tonnes","1416","tonnes","6048","tonnes","103","tonnes","547","tonnes","","tonnes","","kg","","kg","21","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","165","tonnes","34","tonnes","18","tonnes","1","tonnes","153","tonnes","8","tonnes","43","tonnes","1","tonnes","","kg","","kg","15.5","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","4845","tonnes","1480","tonnes","754","tonnes","4","tonnes","59","tonnes","2","tonnes","29","tonnes","","tonnes","12.1","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1993","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","840","tonnes","73","tonnes","59","tonnes","300","tonnes","737","tonnes","290","tonnes","214","tonnes","11","tonnes","","kg","","kg","20","kg","","gTEQ","","g","","kg",
