"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","8602","tonnes","5230","tonnes","4125","tonnes","59606","tonnes","1305","tonnes","1440","tonnes","410435","tonnes","","tonnes","","kg","","kg","20.8","kg","","gTEQ","","g","30763.3","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","151","tonnes","56","tonnes","50","tonnes","106","tonnes","452","tonnes","27","tonnes","416","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","8451","tonnes","5174","tonnes","4075","tonnes","59500","tonnes","853","tonnes","1413","tonnes","410019","tonnes","","tonnes","","kg","","kg","20.8","kg","","gTEQ","","g","30763.3","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","36765","tonnes","7188","tonnes","1366","tonnes","556","tonnes","965","tonnes","5618","tonnes","3331","tonnes","","tonnes","950.2","kg","19.3","kg","12.7","kg","0.005","gTEQ","","g","11.3","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","46244","tonnes","15532","tonnes","7564","tonnes","22647","tonnes","30561","tonnes","436","tonnes","12961","tonnes","430","tonnes","530.3","kg","15.9","kg","310.9","kg","0.544","gTEQ","419.77","g","1.7","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","2828","tonnes","1690","tonnes","844","tonnes","19790","tonnes","26349","tonnes","319","tonnes","9428","tonnes","402","tonnes","411.7","kg","10.9","kg","309.4","kg","0.544","gTEQ","419.77","g","1.7","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","1781","tonnes","996","tonnes","472","tonnes","2769","tonnes","4089","tonnes","49","tonnes","3107","tonnes","29","tonnes","13.2","kg","4.1","kg","1.4","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","41635","tonnes","12846","tonnes","6248","tonnes","89","tonnes","123","tonnes","67","tonnes","426","tonnes","","tonnes","105.3","kg","1","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","3987","tonnes","3035","tonnes","1581","tonnes","19565","tonnes","22179","tonnes","14183","tonnes","14167","tonnes","7070","tonnes","64.3","kg","6.4","kg","16.8","kg","0.129","gTEQ","","g","24.5","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","1761","tonnes","1190","tonnes","892","tonnes","17911","tonnes","9200","tonnes","5575","tonnes","7465","tonnes","94","tonnes","52.2","kg","","kg","16.4","kg","0.129","gTEQ","","g","24.5","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","15","tonnes","14","tonnes","9","tonnes","","tonnes","3","tonnes","1382","tonnes","3","tonnes","2","tonnes","1.8","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Petrochemical Industry","Industrie pétrochimique","859","tonnes","847","tonnes","107","tonnes","73","tonnes","3803","tonnes","2665","tonnes","1683","tonnes","","tonnes","9","kg","3.5","kg","0.4","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Plastics & Synthetic Resins Fabrication","Fabrication de plastiques et de résines synthétiques","297","tonnes","269","tonnes","239","tonnes","15","tonnes","358","tonnes","3183","tonnes","300","tonnes","36","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Fertilizer Production","Production d'engrais","989","tonnes","672","tonnes","299","tonnes","1565","tonnes","8797","tonnes","787","tonnes","4408","tonnes","6938","tonnes","1.3","kg","2.9","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Other (Chemical Industries)","Autres (industrie chimique)","67","tonnes","42","tonnes","35","tonnes","2","tonnes","17","tonnes","591","tonnes","308","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","all subsectors","tous les sous-secteurs","631","tonnes","564","tonnes","452","tonnes","1799","tonnes","516","tonnes","99","tonnes","719","tonnes","424","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Clay Products","Produits d'argile","56","tonnes","47","tonnes","9","tonnes","352","tonnes","29","tonnes","","tonnes","84","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Brick Products","Briques","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Other Mineral Products","Autres produits minéraux","574","tonnes","517","tonnes","443","tonnes","1447","tonnes","486","tonnes","99","tonnes","635","tonnes","424","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Foundries","Fonderies","all subsectors","tous les sous-secteurs","6058","tonnes","5683","tonnes","5163","tonnes","48","tonnes","144","tonnes","366","tonnes","48809","tonnes","","tonnes","110.8","kg","1.7","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Foundries","Fonderies","Ferrous Foundries","Métaux ferreux","6049","tonnes","5677","tonnes","5159","tonnes","48","tonnes","144","tonnes","366","tonnes","48809","tonnes","","tonnes","63.7","kg","1.6","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Foundries","Fonderies","Non-ferrous Foundries","Métaux non ferreux","1","tonnes","1","tonnes","1","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","47.1","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Foundries","Fonderies","Die Casting","Moulage sous pression","8","tonnes","6","tonnes","4","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Grain Industries","Industrie céréalière","all subsectors","tous les sous-secteurs","53807","tonnes","14070","tonnes","2402","tonnes","630","tonnes","954","tonnes","2535","tonnes","374","tonnes","8","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","all subsectors","tous les sous-secteurs","6290","tonnes","3641","tonnes","2146","tonnes","23639","tonnes","11017","tonnes","923","tonnes","22598","tonnes","78","tonnes","5137.7","kg","233.2","kg","594.8","kg","2.798","gTEQ","1125.25","g","545.5","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Primary (Blast furnace and DRI)","Primaire (haut fourneau et réduction directe du fer)","5881","tonnes","3417","tonnes","1980","tonnes","22920","tonnes","9678","tonnes","574","tonnes","19359","tonnes","71","tonnes","3849.8","kg","198.1","kg","228.5","kg","1.192","gTEQ","154.28","g","544.7","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Secondary (Electric Arc Furnaces)","Secondaire (four à arc électrique)","404","tonnes","222","tonnes","162","tonnes","720","tonnes","1339","tonnes","349","tonnes","3239","tonnes","7","tonnes","1274.3","kg","35.1","kg","356.8","kg","1.606","gTEQ","970.969","g","0.8","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Steel Recycling","Recyclage d'acier","4","tonnes","3","tonnes","3","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","13.6","kg","","kg","9.5","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Other (Iron and Steel Industries)","Autres (sidérurgies)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron Ore Mining Industry","Industrie des minerais de fer","all subsectors","tous les sous-secteurs","13138","tonnes","3112","tonnes","1072","tonnes","11448","tonnes","12887","tonnes","289","tonnes","20397","tonnes","","tonnes","2079.6","kg","69.3","kg","99.9","kg","","gTEQ","","g","18.2","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron Ore Mining Industry","Industrie des minerais de fer","Iron Ore Mining Industry","Industrie minière de minerai de fer","2523","tonnes","885","tonnes","332","tonnes","460","tonnes","1486","tonnes","","tonnes","3384","tonnes","","tonnes","77.2","kg","8.3","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Iron Ore Mining Industry","Industrie des minerais de fer","Pelletizing","Bouletage","10615","tonnes","2227","tonnes","740","tonnes","10988","tonnes","11401","tonnes","289","tonnes","17013","tonnes","","tonnes","2002.4","kg","61","kg","99.9","kg","","gTEQ","","g","18.2","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mining and Rock Quarrying","Exploitation de mines et de carrières","all subsectors","tous les sous-secteurs","178153","tonnes","42974","tonnes","10428","tonnes","2262","tonnes","22222","tonnes","1775","tonnes","14000","tonnes","93","tonnes","2968.3","kg","289.6","kg","8.5","kg","0.032","gTEQ","12.869","g","49","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mining and Rock Quarrying","Exploitation de mines et de carrières","Rock; Sand and Gravel","Roche; sable et gravier","109882","tonnes","14322","tonnes","2795","tonnes","","tonnes","498","tonnes","","tonnes","168","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mining and Rock Quarrying","Exploitation de mines et de carrières","Metal Mining ","Mines de métaux","19977","tonnes","9435","tonnes","3907","tonnes","920","tonnes","9229","tonnes","509","tonnes","8590","tonnes","47","tonnes","2819.1","kg","284.9","kg","5.1","kg","0.031","gTEQ","5.779","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mining and Rock Quarrying","Exploitation de mines et de carrières","Coal Mining Industry","Industrie du charbon","38041","tonnes","14481","tonnes","1368","tonnes","1021","tonnes","2602","tonnes","328","tonnes","1796","tonnes","","tonnes","10.9","kg","1.6","kg","1.1","kg","","gTEQ","","g","49","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mining and Rock Quarrying","Exploitation de mines et de carrières","Potash","Potasse","5891","tonnes","3209","tonnes","1688","tonnes","1","tonnes","2167","tonnes","557","tonnes","1074","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mining and Rock Quarrying","Exploitation de mines et de carrières","Silica Production","Production de silice","1409","tonnes","138","tonnes","41","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Mining and Rock Quarrying","Exploitation de mines et de carrières","Other Minerals","Autres minéraux","2953","tonnes","1388","tonnes","630","tonnes","320","tonnes","7725","tonnes","380","tonnes","2371","tonnes","46","tonnes","138.3","kg","3.1","kg","2.4","kg","0.001","gTEQ","7.09","g","","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Non-Ferrous Smelting and Refining Industry","Fonte et affinage de métaux non ferreux","all subsectors","tous les sous-secteurs","4597","tonnes","2549","tonnes","1769","tonnes","370040","tonnes","1645","tonnes","70","tonnes","10823","tonnes","347","tonnes","74874.7","kg","5333.3","kg","358.5","kg","0.375","gTEQ","730.689","g","0.3","kg",
"Canada","Canada","2013","Industrial Sources","Sources industrielles","Non-Ferrous Smelting and Refining Industry","Fonte et affinage de métaux non ferreux","Primary Ni; Cu; Zn; Pb","Ni; Cu; Zi et Pb de première fusion","4572","tonnes","2535","tonnes","1756","tonnes","368745","tonnes","1530","tonnes","40","tonnes","10823","tonnes","310","tonnes","74668.4","kg","5333.3","kg","358.5","kg","0.373","gTEQ","730.599","g","","kg",
