"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","8594","tonnes","5650","tonnes","4348","tonnes","55489","tonnes","1689","tonnes","1008","tonnes","266453","tonnes","12","tonnes","","kg","","kg","37.8","kg","","gTEQ","","g","34400","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","266","tonnes","184","tonnes","120","tonnes","5322","tonnes","1252","tonnes","13","tonnes","213","tonnes","","tonnes","","kg","","kg","17.3","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","8324","tonnes","5461","tonnes","4223","tonnes","50166","tonnes","406","tonnes","995","tonnes","266240","tonnes","7","tonnes","","kg","","kg","20.6","kg","","gTEQ","","g","34400","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","5","tonnes","5","tonnes","5","tonnes","","tonnes","30","tonnes","","tonnes","","tonnes","5","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","15487","tonnes","2961","tonnes","543","tonnes","254","tonnes","363","tonnes","190","tonnes","1443","tonnes","","tonnes","181.5","kg","4.6","kg","4.1","kg","","gTEQ","","g","3.7","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","11781","tonnes","4082","tonnes","2023","tonnes","14607","tonnes","9709","tonnes","95","tonnes","4141","tonnes","129","tonnes","156.3","kg","8.5","kg","30.7","kg","1.166","gTEQ","448.368","g","2.6","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","1581","tonnes","865","tonnes","434","tonnes","13452","tonnes","8650","tonnes","65","tonnes","3628","tonnes","97","tonnes","131","kg","7.5","kg","25.6","kg","1.166","gTEQ","448.368","g","2.6","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","309","tonnes","164","tonnes","105","tonnes","1155","tonnes","1057","tonnes","1","tonnes","512","tonnes","32","tonnes","0.2","kg","0.7","kg","5","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","9891","tonnes","3052","tonnes","1484","tonnes","","tonnes","3","tonnes","29","tonnes","","tonnes","","tonnes","25","kg","0.2","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","1271","tonnes","1006","tonnes","762","tonnes","8208","tonnes","2169","tonnes","6948","tonnes","2380","tonnes","36","tonnes","357.2","kg","4.8","kg","1.3","kg","0.014","gTEQ","1.08","g","0.5","kg",
"Quebec","Québec","2005","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","416","tonnes","312","tonnes","225","tonnes","5723","tonnes","905","tonnes","550","tonnes","667","tonnes","5","tonnes","","kg","","kg","","kg","0.001","gTEQ","1.08","g","","kg",
